EAN;NAZWA;CENA_SPRZEDAZY;STAN;ROTACJA;COLI;MARKA
5907222604137;PIWO AMERICAN LAGER 0.5L BT BZ;6.99;0;0;20;KONSTANCIN
5907222604182;PIWO LEKKIE 0.5L BT BZ;6.99;0;0;20;KONSTANCIN
5903031400649;PIWO ARTAGAN AIPA 0.5L BT BZ;4.99;0;0;20;STARY BROWAR KOSCIERZYNA
5903031400656;PIWO ARAMIS APA 0.5L BT BZ;4.99;0;0;20;STARY BROWAR KOSCIERZYNA
5903031400670;PIWO PORTOS PSZEN.0.5L BT BZ;4.99;0;0;20;STARY BROWAR KOSCIERZYNA
5904730284943;PIWO WEIZENBOCK 0.5L BTBZ;5.99;0;0;20;BROWAR JAN OLBRACHT
5904730284905;PIWO APA 0.5L BTBZ;5.99;0;0;20;BROWAR JAN OLBRACHT
5904730284929;PIWO JASNE 0.5L BTBZ;4.99;0;0;20;BROWAR JAN OLBRACHT
5904730284912;G.SC.PIWO PSZENICZNE 0.5L BTBZ;5.99;0;0;20;BROWAR JAN OLBRACHT
5904730284561;G.SC.PIWO PIER.FOCH 0.5L BT BZ;6.59;0;0;20;BROWAR JAN OLBRACHT
5901549250756;PIWO PSZENICZNE 0.5L BT BZ;5.99;0;0;20;KONSTANCIN
5901549250763;PIWO ZYTNIE 0.5L BT BZ;6.99;0;0;20;KONSTANCIN
5900779755062;PIWO SW.PATRYK 0.5L BT BZ;6.49;-1;0;20;RECRAFT
5907582579434;PIWO IRLANDZK.JASNE 0.5L BT BZ;3.99;0;0;15;KRAJAN
5907804436071;PIWO IRLANDZ.ZIELON.0.5L BT BZ;3.99;0;0;15;KRAJAN
5904730284868;G.SC.PIWO CIEM.KORD 0.33L BTBZ;17.99;0;0;12;BROWAR JAN OLBRACHT
5904730284004;G.PIWO KORONA OLBRACH.0.5L BZ;5.99;17;0;20;BROWAR JAN OLBRACHT
5904730284035;G.PIWO SMIETANKA 0.5L BT BZ;5.99;0;0;20;BROWAR JAN OLBRACHT
5904730284660;G.PIWO POMARANCZAR.0.5L BT BZ;5.99;13;1.75;20;BROWAR JAN OLBRACHT
5905279326323;T.PIWO SOURTENCE 0.5L BT BZ;7.49;0;0;20;SZPUNT
5907222604854;G.PIWO SESSI IPA 0.5L BT BZ;6.99;0;0;20;KONSTANCIN
5907222604717;G.PIWO SES.COA.IPA0.5L BTBZ;3.49;1;6.5;20;KONSTANCIN
5901549250626;ZES.PIW GNIEW.MIOD.6X0.33LBTZW;11.99;0;0;6;GNIEWOSZ
5901549250633;ZES.PIW GNIEW.KORZ.6X0.33LBTZW;11.99;0;0;6;GNIEWOSZ
5902627011146;PIWO NIS.AL.ZERO STRES.0.5LBTB;3.99;0;0;12;BROWAR JAN OLBRACHT
5901122234685;T.PIWO LAZY BERRIES 0.5L BT BZ;6.49;0;0;10;INNE BECZKI
5905669683289;T.PIWO ESTEBAN 0.5L BT BZ;6.49;0;0;10;INNE BECZKI
5907431705175;T.PIWO DEMENTIA 0.5L BT BZ;4.99;0;0;20;RADUGA
5907431705380;T.PIWO FREAK 0.5L BT BZ;4.99;0;0;20;RADUGA
5904730290098;T.PIWO PHANTOM 0.5L BT BZ;8.99;0;0;20;KINGPIN
5904730290463;T.PIWO SIMPLEASY 0.5L BT BZ;8.99;0;0;20;KINGPIN
5902627011283;T.PIWO KORD WHIS.BAR.0.33L BTB;18.99;0;0;12;BROWAR JAN OLBRACHT
5907637971176;T.PIWO APA 0.5L BT BZW;4.99;0;5.5;20;HARPAGAN
5907637971190;T.PIWO WEIZEN 0.5L BT BZ;6.99;0;0;20;HARPAGAN
5907637971077;T.PIWO KORK.POPL.0.5L BT BZ;8.99;20;2.5;20;HARPAGAN
5907637971046;T.PIWO MIZ.MAMUTA 0.5L BT BZ;8.99;6;3.75;20;HARPAGAN
5907637971060;T.PIWO EKS.PRAMA 0.5L BT BZ;5.99;10;5.5;20;HARPAGAN
5904730284165;T.ZES.PIW OLBR.4X0.5L BT BZ+SZ;42.99;0;0;1;BROWAR JAN OLBRACHT
